hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
340,1145.557,707.2129,652.05,978.08,1453.975,18680,0.5304604,0.2246788,0.6173531,2.229852005,0.617352869
341,2069.767,1322.693,945,1757.7,3037.44,939,0.2758254,0.5772098,0.6390539,3.214222222,0.639054058
342,1534.235,1069.413,868,1100,1826.85,3646,0.3299506,0.2973121,0.6970334,2.104665899,0.697033375
343,1640.341,1238.619,760,1189.6,2339.7,1312,0.378811,0.3849085,0.7550984,3.078552632,0.755098483
344,1544.804,1048.996,964,1007,1916.07,19532,0.3396478,0.3282306,0.6790482,1.987624481,0.679047957
345,1767.466,1482.733,686,1032,2729.94,950,0.3484211,0.3547368,0.8389032,3.979504373,0.838903266
346,1356.961,1239.745,650,800,1491.77,11174,0.3435654,0.2473599,0.9136185,2.295030769,0.913618741
347,1275.201,988.312,480.975,961,1677.665,652,0.5904908,0.3236196,0.7750244,3.488050314,0.775024486
350,2077.11,2123.473,450,994.99,3576,1223,0.579722,0.3957482,1.022321,7.946666667,1.022320917
351,1166.574,858.0366,615.255,935.525,1417.55,1968,0.566565,0.2210366,0.735518,2.304004031,0.735518364
352,1089.959,962.0068,525,683,1282.5,4787,0.2870274,0.2224775,0.8826082,2.442857143,0.882608245
354,1283.18,734.2934,808.4,1174.475,1521.23,510,0.8823529,0.2745098,0.572245,1.881778822,0.572245047
355,1124.054,1044.269,606,792,1035,5461,0.2305439,0.1615089,0.9290202,1.707920792,0.929020314
356,1479.559,1160.977,676,1041.25,1932,54094,0.3582098,0.3545865,0.7846777,2.857988166,0.784677732
357,1301.736,1099.765,501,976.12,1577.6,10911,0.6086518,0.2728439,0.8448446,3.148902196,0.844844884
358,1148.652,1285.144,639,750,996,4675,0.1871658,0.1232086,1.118828,1.558685446,1.118827983
359,1660.313,982.5077,909.58,1625.52,2025.17,2324,0.6678141,0.5490534,0.5917605,2.226489149,0.591760529
360,1174.865,1281.494,574,642,1076,1611,0.3147114,0.185599,1.090758,1.87456446,1.090758513
362,1378.617,1897.147,515,577,772.5,858,0.2144522,0.1981352,1.376123,1.5,1.376123318
363,1145.381,1008.289,487,683,1486.51,3329,0.2967858,0.2493241,0.8803092,3.05238193,0.880308823
364,1302.868,950.634,579,921,1714,26206,0.4929787,0.3500725,0.729647,2.960276339,0.729647209
365,1442.611,1408.473,586,709,1900.165,5680,0.3056338,0.3253521,0.9763354,3.242602389,0.976335963
366,1142.566,1222.467,520,590,1339.96,7735,0.2879121,0.2255979,1.069931,2.576846154,1.06993119
367,3041.587,1661.536,2256.69,2571,3713.34,1463,0.9049897,0.8755981,0.5462726,1.645480771,0.546272719
368,1783.124,1622.03,625,937.5,2428.35,10144,0.4271491,0.428332,0.9096562,3.88536,0.909656311
369,2703.934,1370.647,1834,2583.905,3388.53,2384,0.6858221,0.8196309,0.5069085,1.84761723,0.506908453
370,2210.798,1238.052,1417.5,1739.525,2579.35,554,0.5270758,0.7129964,0.5600026,1.819647266,0.560002316
371,2778.325,1308.801,1887.21,2588.9,3382.88,2557,0.8693781,0.8869769,0.4710756,1.792529713,0.471075558
373,1652.379,1293.319,599.24,1404,2190,5723,0.5933951,0.4183121,0.7827011,3.654629197,0.782701184
